value,count
air.fragment_input|generated(6v_ctnpDv4_f)|air.centroid|air.no_perspective|air.arg_type_name|float4|air.arg_name|v_ctnp,546
air.fragment_input|generated(4v_spDv4_f)|air.sample|air.perspective|air.arg_type_name|float4|air.arg_name|v_sp,546
air.fragment_input|generated(5v_snpDv4_f)|air.sample|air.no_perspective|air.arg_type_name|float4|air.arg_name|v_snp,546
air.depth|air.depth_qualifier|air.greater|air.arg_type_name|float|air.arg_name|d,546
air.depth|air.depth_qualifier|air.less|air.arg_type_name|float|air.arg_name|d,546
"air.texture|air.location_index|air.sample|air.arg_type_name|depth2d<float, sample>|air.arg_name|d",546
"air.texture|air.location_index|air.sample|air.arg_type_name|texturecube<float, sample>|air.arg_name|c",546
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d_ms<float, read>|air.arg_name|ms",546
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d<float, read>|air.arg_name|t",546
"air.texture|air.location_index|air.write|air.arg_type_name|texture2d<float, write>|air.arg_name|t",546
air.vertex_input|air.location_index|air.arg_type_name|float4|air.arg_name|position,532
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|uint|air.arg_name|o|air.arg_unused,510
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|float3|air.arg_name|o,510
air.buffer|air.location_index|air.read_write|air.address_space|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half3|air.arg_name|o,510
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half|air.arg_name|out,484
air.buffer|air.location_index|air.read_write|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|half|air.arg_name|o,484
air.buffer|air.location_index|air.read_write|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|metal::_atomic|air.arg_name|counter,480
air.buffer|air.location_index|air.read_write|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|metal::_atomic|air.arg_name|icounter,480
air.buffer|air.location_index|air.read_write|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|AddressBox|air.arg_name|dev,480
air.buffer|air.location_index|air.read|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|AddressBox|air.arg_name|con,480
air.buffer|air.location_index|air.read_write|air.address_space|air.struct_type_info|air.arg_type_size|air.arg_type_align_size|air.arg_type_name|AddressBox|air.arg_name|tg,480
"air.texture|air.location_index|air.sample|air.arg_type_name|texture2d<float, sample>|air.arg_name|t2",472
"air.texture|air.location_index|air.sample|air.arg_type_name|texture3d<float, sample>|air.arg_name|t7",472
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d<float, read>|air.arg_name|t14",472
air.position|air.center|air.no_perspective|air.arg_type_name|float4|air.arg_name|position|air.arg_unused,470
"air.texture|air.location_index|air.write|air.arg_type_name|texture3d<float, write>|air.arg_name|tex",428
"air.texture|air.location_index|air.read|air.arg_type_name|texture2d<half, read>|air.arg_name|tex",428
"air.texture|air.location_index|air.read|air.arg_type_name|texture1d<half, read>|air.arg_name|tex",428
