value,count
threadgroup Uniforms &(device coherent(device) Uniforms &&) threadgroup,1888
threadgroup_imageblock Uniforms &(device coherent(device) Uniforms &&) threadgroup_imageblock,1888
ray_data Uniforms &(device coherent(device) Uniforms &&) ray_data,1888
object_data Uniforms &(device coherent(device) Uniforms &&) object_data,1888
Uniforms &(device coherent(device) Uniforms &&),1888
"int (volatile device _atomic<int> *, int, metal::memory_order)",1880
metal::uint (metal::uint),1844
void (),1772
const device NestedLayout &,1772
metal::component,1770
"void (device float *, device uint *, uint, uint)",1770
"texture1d<half, access::sample>",1770
"texture1d<int, access::sample>",1770
"texture1d<uint, access::sample>",1770
"texture3d<half, access::sample>",1770
"texture3d<int, access::sample>",1770
"texture3d<uint, access::sample>",1770
device AbiStruct &&,1712
threadgroup AbiStruct &&,1712
const threadgroup_imageblock VertexOut &,1700
threadgroup_imageblock VertexOut &&,1700
void (metal::level &&) noexcept,1696
"unsigned int (*)(volatile device _atomic<unsigned int> *, unsigned int, metal::memory_order)",1692
threadgroup AddressBox *,1652
const constant float *,1652
metal::float3 (metal::float3),1652
int[2],1652
threadgroup uint[256],1652
FO2,1652
FO,1652
FOm,1652
VOp,1652
threadgroup PM,1652
const ArgBufArr &,1564
ArgBufArr &&,1564
const ray_data VertexOut &,1548
ray_data VertexOut &&,1548
void (VertexOut &&) noexcept,1532
const constant float,1494
void (metal::bias &&) noexcept,1484
const constant SharedArgs &,1448
raytracing::ray,1440
VOut &&,1418
AddressBox,1416
bool (metal::bool4),1416
"metal::float4 (metal::float4, metal::float4, metal::float4)",1416
const device NestedLayout,1416
int *,1416
U,1416
const int,1416
"void (int, int, device float *)",1416
S,1416
"texturecube<half, access::sample>",1416
"texturecube<int, access::sample>",1416
"texturecube<uint, access::sample>",1416
OpBox,1416
float[2] __attribute__((ext_vector_type(4))),1416
"const metal::_texture2d_read<float, metal::access::read, metal::__memory_coherence_threadgroup>",1410
bool (bool),1400
const device ArgBufArr &,1392
const threadgroup ArgBufArr &,1392
device ArgBufArr &&,1392
threadgroup ArgBufArr &&,1392
const S &,1388
const constant S &,1388
S &&,1388
const object_data VertexOut &,1356
object_data VertexOut &&,1356
metal::gradient3d,1320
threadgroup_imageblock AbiStruct &&,1312
const threadgroup_imageblock ArgBufArr &,1312
threadgroup_imageblock ArgBufArr &&,1312
IoFragOutG &&,1300
IoFragOutL &&,1300
half (half),1298
"texture2d_ms<float, access::read>",1298
void (device half *),1298
packed_half4,1236
"unsigned int (*)(const volatile device _atomic<unsigned int> *, metal::memory_order)",1222
const volatile device _atomic<unsigned int> *,1222
volatile device _atomic<int> *,1222
const RayPayload &,1216
const constant RayPayload &,1216
RayPayload &&,1216
const RayQuery &,1216
const constant RayQuery &,1216
RayQuery &&,1216
AddressBox *,1180
threadgroup float *,1180
"metal::float4 (*)(metal::float4, metal::float4)",1180
float4[2],1180
Dimensions,1180
VO1,1180
threadgroup Al,1180
threadgroup float[1024],1180
float * __attribute__((ext_vector_type(4))),1180
"void (metal::float2, metal::float2)",1180
bool (float),1180
Bf,1180
metal::uint4 (metal::uint4),1160
const device S &,1152
const threadgroup S &,1152
device S &&,1152
threadgroup S &&,1152
"void (metal::mem_flags, metal::thread_scope)",1152
"float (*)(float, float, float)",1148
"metal::uint (*)(metal::uint, metal::uint)",1138
const Base &,1120
const device Base &,1120
const threadgroup Base &,1120
const constant Base &,1120
packed_half2,1118
ray_data AbiStruct &&,1096
const device RayPayload &,1096
const threadgroup RayPayload &,1096
const threadgroup_imageblock RayPayload &,1096
const ray_data RayPayload &,1096
device RayPayload &&,1096
threadgroup RayPayload &&,1096
threadgroup_imageblock RayPayload &&,1096
ray_data RayPayload &&,1096
const ray_data ArgBufArr &,1096
ray_data ArgBufArr &&,1096
const device RayQuery &,1096
const threadgroup RayQuery &,1096
const threadgroup_imageblock RayQuery &,1096
const ray_data RayQuery &,1096
device RayQuery &&,1096
threadgroup RayQuery &&,1096
threadgroup_imageblock RayQuery &&,1096
ray_data RayQuery &&,1096
VO &&,1064
"texture2d<uint, access::read>",1062
void (half),1062
"texture2d<int, access::read>",1062
void (device bool *),1062
float[2],1062
const constant uint,1048
TypeHolder33 &&,1044
TypeHolder34 &&,1044
TypeHolder35 &&,1044
TypeHolder36 &&,1044
TypeHolder37 &&,1044
TypeHolder38 &&,1044
TypeHolder39 &&,1044
TypeHolder40 &&,1044
TypeHolder41 &&,1044
TypeHolder42 &&,1044
TypeHolder43 &&,1044
TypeHolder44 &&,1044
TypeHolder45 &&,1044
TypeHolder46 &&,1044
TypeHolder47 &&,1044
TypeHolder48 &&,1044
TypeHolder49 &&,1044
TypeHolder50 &&,1044
VO4 &&,1004
VOu &&,1004
"vec<float, 4> (*)(const constant matrix<float, 4, 4> &, vec<float, 4>)",1002
const constant metal::float4x4,1002
const constant Uniforms,1002
uint (*)(uint),1002
MeshVertexOut,968
uint32_t,960
metal::raytracing::instance_acceleration_structure,960
unsigned char,944
const device float *,944
"metal::float4 (metal::float4, metal::float4, metal::bool4)",944
metal::bool4,944
metal::bool4 (*)(metal::float4),944
float (metal::float3),944
"float (*)(metal::float3, metal::float3)",944
"metal::float3 (*)(metal::float3, metal::float3)",944
"texture1d<float, access::write>",944
"void (texture2d<half, access::sample>, metal::sampler, device float *)",944
"void (device float *, device uint *, texture2d<float>, metal::sampler, uint, uint)",944
"void (texture2d<float, access::sample>, metal::sampler, device float *)",944
"void (texture2d_array<float, access::sample>, metal::sampler, device float *)",944
threadgroup metal::atomic_uint,944
threadgroup TGData,944
void (device uchar *),944
void (device ushort *),944
void (device char *),944
void (device short *),944
