value,count
_ZN5metal20atomic_load_explicitIjvEEUa9enable_ifIXclL_ZNS_16_constarg_traitsINS_12memory_orderEvE5checkES2_EfL0p0_EEXeqfL0p0_LS2_0EEET_PU9MTLdeviceVKNS_7_atomicIS4_vEES2_,108
_ZNK5metal15_texture2d_readIfLNS_6accessE1ELNS_18__memory_coherenceE0EvE4readEDv2_jj,106
air.simd_prefix_exclusive_sum.u.i32,104
air.simd_prefix_inclusive_sum.u.i32,104
air.simd_prefix_exclusive_product.u.i32,104
air.simd_prefix_inclusive_product.u.i32,104
air.intersect.instancing,96
_ZNK10FixedArrayIjLj4EE4sizeEv,88
_ZN5metalmlIfLi4ELi4EEEDvT1__T_RU11MTLconstantKNS_6matrixIS1_XT0_EXT1_ENS_9enable_ifIXaaaaaasr9is_scalarIS1_EE5valuesr17is_floating_pointIS1_EE5valuegeT0_Li2EgeT1_Li2EEvE4typeEEEDvT0__S1_,78
_ZN5metal27_matrix_vector_product_implIfLi4ELi4EJLi0ELi1ELi2ELi3EEEEDvT1__T_S2_RU11MTLconstantKNS_6matrixIS1_XT0_EXT1_ENS_9enable_ifIXaaaaaasr9is_scalarIS1_EE5valuesr17is_floating_pointIS1_EE5valuegeT0_Li2EgeT1_Li2EEvE4typeEEEDvT0__S1_NS_17_integer_sequenceIiJXspT2_EEEE,78
_ZN5metal27_matrix_vector_product_implIfLi4ELi4EJLi0ELi1ELi2EEEEDvT1__T_S2_RU11MTLconstantKNS_6matrixIS1_XT0_EXT1_ENS_9enable_ifIXaaaaaasr9is_scalarIS1_EE5valuesr17is_floating_pointIS1_EE5valuegeT0_Li2EgeT1_Li2EEvE4typeEEEDvT0__S1_NS_17_integer_sequenceIiJXspT2_EEEE,78
_ZN5metal27_matrix_vector_product_implIfLi4ELi4EJLi0ELi1EEEEDvT1__T_S2_RU11MTLconstantKNS_6matrixIS1_XT0_EXT1_ENS_9enable_ifIXaaaaaasr9is_scalarIS1_EE5valuesr17is_floating_pointIS1_EE5valuegeT0_Li2EgeT1_Li2EEvE4typeEEEDvT0__S1_NS_17_integer_sequenceIiJXspT2_EEEE,78
_ZN5metal27_matrix_vector_product_implIfLi4ELi4EEEDvT1__T_S2_RU11MTLconstantKNS_6matrixIS1_XT0_EXT1_ENS_9enable_ifIXaaaaaasr9is_scalarIS1_EE5valuesr17is_floating_pointIS1_EE5valuegeT0_Li2EgeT1_Li2EEvE4typeEEEDvT0__S1_NS_17_integer_sequenceIiJLi0EEEE,78
llvm.smul.with.overflow.i32,78
_ZN5metal6selectEDv4_fS0_Dv4_b,78
_ZN5metal3absEDv4_f,72
_ZN5metal4acosEDv4_f,72
_ZN5metal4asinEDv4_f,72
_ZN5metal4atanEDv4_f,72
_ZN5metal4ceilEDv4_f,72
_ZN5metal3cosEDv4_f,72
_ZN5metal4coshEDv4_f,72
_ZN5metal3expEDv4_f,72
_ZN5metal4exp2EDv4_f,72
_ZN5metal5floorEDv4_f,72
_ZN5metal5fractEDv4_f,72
_ZN5metal3logEDv4_f,72
_ZN5metal4log2EDv4_f,72
_ZN5metal4rintEDv4_f,72
_ZN5metal5roundEDv4_f,72
_ZN5metal5rsqrtEDv4_f,72
_ZN5metal3sinEDv4_f,72
_ZN5metal4sinhEDv4_f,72
_ZN5metal4sqrtEDv4_f,72
_ZN5metal3tanEDv4_f,72
_ZN5metal4tanhEDv4_f,72
_ZN5metal5truncEDv4_f,72
_ZN5metal5clampEDv4_fS0_S0_,72
_ZN5metal3mixEDv4_fS0_S0_,72
_ZN5metal9normalizeEDv4_f,72
_ZN5metal5crossEDv3_fS0_,72
_ZN5metal4fast9normalizeEDv4_f,72
_ZN5metal14length_squaredEDv4_f,72
_ZN5metal4fast5rsqrtEf,72
_ZN5metal19threadgroup_barrierEUa9enable_ifIXclL_ZNS_16_constarg_traitsINS_12thread_scopeEvE5checkES1_EfL0p0_EEENS_9mem_flagsES1_,72
_ZNK5metal17_texture2d_sampleIfLNS_6accessE0ELNS_16memory_coherenceE0EvE6sampleENS_7samplerEDv2_fDv2_i,72
llvm.memcpy.p0i8.p1i8.i64,71
_ZN5metal10raytracing3rayC1EDv3_fS2_ff,60
_ZN5metal10raytracing11intersectorIJNS0_10instancingENS0_13triangle_dataEEEC1Ev,60
_ZN5metal10raytracing3rayC2EDv3_fS2_ff,60
_ZN5metal10raytracing11intersectorIJNS0_10instancingENS0_13triangle_dataEEEC2Ev,60
_ZN5metal10raytracing17_intersector_implINS0_11intersectorIJNS0_10instancingENS0_13triangle_dataEEEEvEC2Ev,60
_ZN5metal10raytracing21_intersector_base_iftC2Ev,60
_ZN5metal10raytracing17_intersector_baseC2Ev,60
_ZN5metal10raytracing20_intersection_paramsC1Ev,60
_ZN5metal10raytracing20_intersection_paramsC2Ev,60
_ZN5metal10raytracingorENS0_13geometry_typeES1_,60
_ZN5metal21atomic_store_explicitIjjvEEUa9enable_ifIXclL_ZNS_16_constarg_traitsINS_12memory_orderEvE5checkES2_EfL0p1_EEXeqfL0p1_LS2_0EEEvPU9MTLdeviceVNS_7_atomicIT_vEET0_S2_,54
_ZN5metal25atomic_fetch_add_explicitIjjvEEUa9enable_ifIXclL_ZNS_16_constarg_traitsINS_12memory_orderEvE5checkES2_EfL0p1_EEXeqfL0p1_LS2_0EEET_PU9MTLdeviceVNS_7_atomicIS4_vEET0_S2_,54
_ZN5metal25atomic_fetch_sub_explicitIjjvEEUa9enable_ifIXclL_ZNS_16_constarg_traitsINS_12memory_orderEvE5checkES2_EfL0p1_EEXeqfL0p1_LS2_0EEET_PU9MTLdeviceVNS_7_atomicIS4_vEET0_S2_,54
_ZN5metal24atomic_exchange_explicitIjjvEEUa9enable_ifIXclL_ZNS_16_constarg_traitsINS_12memory_orderEvE5checkES2_EfL0p1_EEXeqfL0p1_LS2_0EEET_PU9MTLdeviceVNS_7_atomicIS4_vEET0_S2_,54
